"Id" "parto" "ap" "cr" "cc" "ppd" "ano" "epoca" "edad"
"142" "2502" 6 8 "CR3" 3.5 10.91 2002 "C" 97
"143" "2502" 7 9 "CR3" 3.5 12.64 2003 "C" 108
"144" "2502" 8 10 "CR3" 3.5625 12.5 2004 "D" 125
"145" "2502" 9 11 "CR3" 3.375 9.93 2005 "D" 137
"140" "2502" 10 12 "CR3" 3.0625 10.19 2006 "D" 149
"141" "2502" 11 13 "CR3" 3.375 8.78 2008 "A" 164
"146" "2506" 5 7 "CR3" 3.5 12.16 2002 "B" 93
"147" "2506" 6 8 "CR3" 3.625 10.26 2003 "B" 105
"148" "2516" 5 7 "CR3" 3.5 11.67 2002 "C" 95
"149" "2516" 6 9 "CR3" 3.625 14.01 2004 "B" 116
"150" "2516" 7 10 "CR3" 3.5 11.71 2005 "B" 129
"151" "2523" 5 7 "CR4" 3.25 11.18 2002 "B" 93
"152" "2523" 6 8 "CR4" 3.625 10.54 2003 "B" 106
"153" "2523" 7 10 "CR4" 3.125 9.94 2004 "D" 122
"154" "2523" 8 11 "CR4" 2.375 5.07 2006 "A" 138
"155" "2531" 6 8 "CR4" 3.625 10.55 2003 "A" 102
"157" "2532" 6 8 "CR3" 3.75 9.25 2003 "A" 100
"158" "2532" 7 9 "CR3" 3.625 12.36 2004 "A" 112
"159" "2532" 8 10 "CR3" 3.5625 11.63 2005 "A" 124
"160" "2532" 9 11 "CR3" 3.5 10.38 2006 "A" 137
"156" "2532" 10 12 "CR3" 3.333333 10.9 2007 "A" 150
"164" "2534" 5 7 "CR4" 3.75 12 2002 "B" 93
"165" "2534" 6 8 "CR4" 3.75 12.57 2003 "C" 107
"166" "2534" 7 10 "CR4" 3.5 11.71 2005 "A" 124
"167" "2534" 8 11 "CR4" 3.5 9.02 2006 "A" 138
"168" "2534" 9 12 "CR4" 3.25 10.31 2007 "B" 151
"161" "2534" 10 13 "CR4" 3.5 7.01 2008 "A" 162
"162" "2534" 11 15 "CR4" 3.333333 7.13 2009 "D" 182
"163" "2534" 12 16 "CR4" 2.875 5.88 2010 "D" 193
"169" "2535" 5 7 "CR3" 3.5 10.89 2002 "B" 92
"170" "2535" 6 9 "CR3" 3.625 10.46 2003 "D" 110
"171" "2535" 7 10 "CR3" 3.375 12.53 2004 "D" 122
"172" "2536" 5 7 "CR4" 3.25 9.9 2002 "C" 95
"173" "2536" 6 8 "CR4" 3.5 11.52 2003 "C" 107
"174" "2536" 7 9 "CR4" 3.5 10.58 2004 "C" 119
"175" "2536" 8 10 "CR4" 3.083333 9.46 2005 "C" 130
"176" "2539" 6 8 "CR4" 3.25 7.88 2003 "A" 100
"177" "2539" 7 9 "CR4" 3.375 8.64 2004 "A" 113
"178" "2539" 8 10 "CR4" 2.875 8.69 2005 "A" 124
"179" "2540" 5 8 "CR4" 3.5 12.19 2002 "D" 97
"180" "2540" 6 8 "CR4" 3.75 11.78 2003 "C" 107
"181" "2540" 7 9 "CR4" 3.625 12.7 2004 "C" 119
"182" "2540" 8 11 "CR4" 3.625 11.3 2005 "D" 132
"183" "2540" 9 12 "CR4" 3.25 10.53 2006 "D" 146
"184" "2549" 4 8 "CR4" 3 12.12 2002 "D" 96
"185" "2549" 5 9 "CR4" 3.375 11.97 2003 "D" 108
"186" "2549" 6 10 "CR4" 3 10.69 2005 "A" 122
"187" "2549" 7 11 "CR4" 3.5 11.02 2006 "A" 136
"188" "2555" 5 7 "CR3" 3.5 10.53 2002 "B" 90
"189" "2555" 6 9 "CR3" 3.625 11.19 2003 "D" 108
